Comprobante No; Cliente; Fecha de emisiòn; Idioma; Nivel; Costo; Fecha de Pago


6;Andrea;Sun Jul 04 22:01:14 COT 2021;Ingles;Academico;280.0;Sun Jul 04 22:01:14 COT 2021
6;Andrea;Sun Jul 04 22:01:14 COT 2021;Ingles;Academico;280.0;Sun Jul 04 22:01:14 COT 2021
6;Andrea;Sun Jul 04 22:01:14 COT 2021;Ingles;Academico;280.0;Sun Jul 04 22:01:14 COT 2021
6;Andrea;Sun Jul 04 22:01:14 COT 2021;Ingles;Academico;280.0;Sun Jul 04 22:01:14 COT 2021
6;Andrea;Sun Jul 04 22:01:14 COT 2021;Ingles;Academico;280.0;Sun Jul 04 22:01:14 COT 2021
6;Andrea;Sun Jul 04 22:01:14 COT 2021;Ingles;Academico;280.0;Sun Jul 04 22:01:14 COT 2021
6;Andrea;Sun Jul 04 22:01:14 COT 2021;Ingles;Academico;280.0;Sun Jul 04 22:01:14 COT 2021
6;Andrea;Sun Jul 04 22:01:14 COT 2021;Ingles;Academico;280.0;Sun Jul 04 22:01:14 COT 2021
6;Andrea;Sun Jul 04 22:01:14 COT 2021;Ingles;Academico;280.0;Sun Jul 04 22:01:14 COT 2021
6;Andrea;Sun Jul 04 22:01:14 COT 2021;Ingles;Academico;280.0;Sun Jul 04 22:01:14 COT 2021
6;Andrea;Sun Jul 04 22:03:30 COT 2021;Ingles;Academico;280.0;Sun Jul 04 22:03:30 COT 2021
6;Andrea;Sun Jul 04 22:03:30 COT 2021;Ingles;Academico;280.0;Sun Jul 04 22:03:30 COT 2021
6;Andrea;Sun Jul 04 22:03:30 COT 2021;Ingles;Academico;280.0;Sun Jul 04 22:03:30 COT 2021
6;Andrea;Sun Jul 04 22:05:07 COT 2021;Ingles;Academico;280.0;Sun Jul 04 22:05:07 COT 2021
6;Andrea;Sun Jul 04 22:05:07 COT 2021;Ingles;Academico;280.0;Sun Jul 04 22:05:07 COT 2021
6;Andrea;Sun Jul 04 22:05:07 COT 2021;Ingles;Academico;280.0;Sun Jul 04 22:05:07 COT 2021
6;Andrea;Sun Jul 04 22:12:52 COT 2021;Ingles;Academico;280.0;Sun Jul 04 22:12:52 COT 2021
6;Andrea;Sun Jul 04 22:12:52 COT 2021;Ingles;Academico;280.0;Sun Jul 04 22:12:52 COT 2021
6;Andrea;Sun Jul 04 22:12:52 COT 2021;Ingles;Academico;280.0;Sun Jul 04 22:12:52 COT 2021
6;Andrea;Sun Jul 04 22:15:40 COT 2021;Ingles;Academico;280.0;Sun Jul 04 22:15:40 COT 2021
6;Andrea;Sun Jul 04 22:15:40 COT 2021;Ingles;Academico;280.0;Sun Jul 04 22:15:40 COT 2021
6;Andrea;Sun Jul 04 22:15:40 COT 2021;Ingles;Academico;280.0;Sun Jul 04 22:15:40 COT 2021
6;Andrea;Sun Jul 04 22:15:54 COT 2021;Ingles;Academico;280.0;Sun Jul 04 22:15:54 COT 2021
6;Andrea;Sun Jul 04 22:15:54 COT 2021;Ingles;Academico;280.0;Sun Jul 04 22:15:54 COT 2021
6;Andrea;Sun Jul 04 22:15:54 COT 2021;Ingles;Academico;280.0;Sun Jul 04 22:15:54 COT 2021
